Subject,Relation,Object
ImNet-O:n07622061,rdfs:subClassOf,ImNet-O:n07555863
ImNet-O:n07713395,rdfs:subClassOf,ImNet-O:n07707451
ImNet-O:n07556970,rdfs:subClassOf,ImNet-O:n07570720
ImNet-O:n07875693,rdfs:subClassOf,ImNet-O:n07871810
ImNet-O:n07718671,rdfs:subClassOf,ImNet-O:n07718472
ImNet-O:n00020090,rdfs:subClassOf,ImNet-O:n00020827
ImNet-O:n07697537,rdfs:subClassOf,ImNet-O:n07695965
ImNet-O:n13004423,rdfs:subClassOf,ImNet-O:n12998815
ImNet-O:n07873807,rdfs:subClassOf,ImNet-O:n07557434
ImNet-O:n07583197,rdfs:subClassOf,ImNet-O:n07557434
ImNet-O:n00021265,rdfs:subClassOf,ImNet-O:n00020090
ImNet-O:n00020827,rdfs:subClassOf,ImNet-O:n00001930
ImNet-O:n07609840,rdfs:subClassOf,ImNet-O:n07556970
ImNet-O:n07865105,rdfs:subClassOf,ImNet-O:n07697537
ImNet-O:n07679356,rdfs:subClassOf,ImNet-O:n07622061
ImNet-O:n07871810,rdfs:subClassOf,ImNet-O:n07683786
ImNet-O:n12998815,rdfs:subClassOf,ImNet-O:n12997654
ImNet-O:n07584110,rdfs:subClassOf,ImNet-O:n07583197
ImNet-O:a011,rdfs:subClassOf,ImNet-O:a050
ImNet-O:a009,rdfs:subClassOf,ImNet-O:a050
ImNet-O:a030,rdfs:subClassOf,ImNet-O:a045
ImNet-O:a017,rdfs:subClassOf,ImNet-O:a041
ImNet-O:a033,rdfs:subClassOf,ImNet-O:a028
ImNet-O:a038,rdfs:subClassOf,ImNet-O:a049
ImNet-O:a052,rdfs:subClassOf,ImNet-O:a045
ImNet-O:a037,rdfs:subClassOf,ImNet-O:a044
ImNet-O:a006,rdfs:subClassOf,ImNet-O:a042
ImNet-O:a005,rdfs:subClassOf,ImNet-O:a042
ImNet-O:a022,rdfs:subClassOf,ImNet-O:a046
ImNet-O:a035,rdfs:subClassOf,ImNet-O:a028
ImNet-O:a048,rdfs:subClassOf,ImNet-O:a047
ImNet-O:a040,rdfs:subClassOf,ImNet-O:a049
ImNet-O:a021,rdfs:subClassOf,ImNet-O:a046
ImNet-O:a041,rdfs:subClassOf,ImNet-O:a048
ImNet-O:a024,rdfs:subClassOf,ImNet-O:a043
ImNet-O:a019,rdfs:subClassOf,ImNet-O:a041
ImNet-O:a023,rdfs:subClassOf,ImNet-O:a043
ImNet-O:a015,rdfs:subClassOf,ImNet-O:a050
ImNet-O:a039,rdfs:subClassOf,ImNet-O:a049
ImNet-O:a012,rdfs:subClassOf,ImNet-O:a050
ImNet-O:a027,rdfs:subClassOf,ImNet-O:a045
ImNet-O:a028,rdfs:subClassOf,ImNet-O:a045
ImNet-O:a025,rdfs:subClassOf,ImNet-O:a051
ImNet-O:a020,rdfs:subClassOf,ImNet-O:a041
ImNet-O:a013,rdfs:subClassOf,ImNet-O:a050
ImNet-O:a010,rdfs:subClassOf,ImNet-O:a050
ImNet-O:a014,rdfs:subClassOf,ImNet-O:a050
ImNet-O:a034,rdfs:subClassOf,ImNet-O:a028
ImNet-O:a003,rdfs:subClassOf,ImNet-O:a042
ImNet-O:a002,rdfs:subClassOf,ImNet-O:a042
ImNet-O:a032,rdfs:subClassOf,ImNet-O:a052
ImNet-O:a043,rdfs:subClassOf,ImNet-O:a047
ImNet-O:a042,rdfs:subClassOf,ImNet-O:a047
ImNet-O:a049,rdfs:subClassOf,ImNet-O:a045
ImNet-O:a031,rdfs:subClassOf,ImNet-O:a052
ImNet-O:a036,rdfs:subClassOf,ImNet-O:a044
ImNet-O:a018,rdfs:subClassOf,ImNet-O:a041
ImNet-O:a007,rdfs:subClassOf,ImNet-O:a042
ImNet-O:a050,rdfs:subClassOf,ImNet-O:a047
ImNet-O:a044,rdfs:subClassOf,ImNet-O:a045
ImNet-O:a008,rdfs:subClassOf,ImNet-O:a050
ImNet-O:a046,rdfs:subClassOf,ImNet-O:a048
ImNet-O:a016,rdfs:subClassOf,ImNet-O:a048
ImNet-O:a051,rdfs:subClassOf,ImNet-O:a047
ImNet-O:a029,rdfs:subClassOf,ImNet-O:a045
ImNet-O:a026,rdfs:subClassOf,ImNet-O:a045
ImNet-O:a001,rdfs:subClassOf,ImNet-O:a042
ImNet-O:a004,rdfs:subClassOf,ImNet-O:a042
ImNet-O:n07697313,ImNet-O:hasIngredient,ImNet-O:a032
ImNet-O:n07697313,ImNet-O:hasIngredient,ImNet-O:a027
ImNet-O:n07697313,ImNet-O:hasIngredient,ImNet-O:a034
ImNet-O:n07697313,ImNet-O:hasShape,ImNet-O:a011
ImNet-O:n07697313,ImNet-O:hasIngredient,ImNet-O:a026
ImNet-O:n07697537,ImNet-O:hasIngredient,ImNet-O:a027
ImNet-O:n07697537,ImNet-O:hasShape,ImNet-O:a014
ImNet-O:n07697537,ImNet-O:hasIngredient,ImNet-O:a038
ImNet-O:n07871810,ImNet-O:hasShape,ImNet-O:a008
ImNet-O:n07871810,ImNet-O:hasShape,ImNet-O:a013
ImNet-O:n07871810,ImNet-O:hasIngredient,ImNet-O:a034
ImNet-O:n07584110,ImNet-O:hasShape,ImNet-O:a012
ImNet-O:n07584110,ImNet-O:hasState,ImNet-O:a025
ImNet-O:n07584110,ImNet-O:hasColor,ImNet-O:a001
ImNet-O:n07584110,ImNet-O:hasColor,ImNet-O:a002
ImNet-O:n07873807,ImNet-O:hasShape,ImNet-O:a012
ImNet-O:n07873807,ImNet-O:hasIngredient,ImNet-O:a039
ImNet-O:n07880968,ImNet-O:hasIngredient,ImNet-O:a030
ImNet-O:n07880968,ImNet-O:hasIngredient,ImNet-O:a033
ImNet-O:n07880968,ImNet-O:hasIngredient,ImNet-O:a031
ImNet-O:n07880968,ImNet-O:hasShape,ImNet-O:a009
ImNet-O:n12998815,ImNet-O:hasPart,ImNet-O:a018
ImNet-O:n12998815,ImNet-O:hasPart,ImNet-O:a016
ImNet-O:n12998815,ImNet-O:hasPart,ImNet-O:a017
ImNet-O:n12998815,ImNet-O:hasDecoration,ImNet-O:a023
ImNet-O:n07614500,ImNet-O:hasShape,ImNet-O:a015
ImNet-O:n07614500,ImNet-O:hasColor,ImNet-O:a007
ImNet-O:n07614500,ImNet-O:hasIngredient,ImNet-O:a029
ImNet-O:n07614500,ImNet-O:hasColor,ImNet-O:a004
ImNet-O:n07718472,ImNet-O:hasShape,ImNet-O:a014
ImNet-O:n07718472,ImNet-O:hasColor,ImNet-O:a003
ImNet-O:n07715103,ImNet-O:hasShape,ImNet-O:a015
ImNet-O:n07715103,ImNet-O:hasPart,ImNet-O:a021
ImNet-O:n07715103,ImNet-O:hasColor,ImNet-O:a007
ImNet-O:n07695965,ImNet-O:hasIngredient,ImNet-O:a032
ImNet-O:n07695965,ImNet-O:hasIngredient,ImNet-O:a027
ImNet-O:n07695965,ImNet-O:hasIngredient,ImNet-O:a028
ImNet-O:n07695965,ImNet-O:hasShape,ImNet-O:a010
ImNet-O:n07697100,ImNet-O:hasIngredient,ImNet-O:a027
ImNet-O:n07697100,ImNet-O:hasIngredient,ImNet-O:a034
ImNet-O:n07697100,ImNet-O:hasShape,ImNet-O:a011
ImNet-O:n07697100,ImNet-O:hasIngredient,ImNet-O:a032
ImNet-O:n07865105,ImNet-O:hasIngredient,ImNet-O:a027
ImNet-O:n07865105,ImNet-O:hasShape,ImNet-O:a014
ImNet-O:n07865105,ImNet-O:hasIngredient,ImNet-O:a038
ImNet-O:n07865105,ImNet-O:hasIngredient,ImNet-O:a035
ImNet-O:n07683786,ImNet-O:hasShape,ImNet-O:a008
ImNet-O:n07683786,ImNet-O:hasShape,ImNet-O:a013
ImNet-O:n07683786,ImNet-O:hasIngredient,ImNet-O:a027
ImNet-O:n07875693,ImNet-O:hasShape,ImNet-O:a008
ImNet-O:n07875693,ImNet-O:hasShape,ImNet-O:a013
ImNet-O:n07875693,ImNet-O:hasColor,ImNet-O:a007
ImNet-O:n07583197,ImNet-O:hasShape,ImNet-O:a012
ImNet-O:n07583197,ImNet-O:hasState,ImNet-O:a025
ImNet-O:n07583197,ImNet-O:hasIngredient,ImNet-O:a033
ImNet-O:n07583197,ImNet-O:hasIngredient,ImNet-O:a031
ImNet-O:n07874259,ImNet-O:hasShape,ImNet-O:a012
ImNet-O:n07874259,ImNet-O:hasIngredient,ImNet-O:a026
ImNet-O:n07874063,ImNet-O:hasShape,ImNet-O:a012
ImNet-O:n07874063,ImNet-O:hasIngredient,ImNet-O:a039
ImNet-O:n07874159,ImNet-O:hasShape,ImNet-O:a012
ImNet-O:n07874159,ImNet-O:hasIngredient,ImNet-O:a039
ImNet-O:n07874159,ImNet-O:hasIngredient,ImNet-O:a040
ImNet-O:n07881205,ImNet-O:hasIngredient,ImNet-O:a030
ImNet-O:n07881205,ImNet-O:hasIngredient,ImNet-O:a033
ImNet-O:n07881205,ImNet-O:hasIngredient,ImNet-O:a031
ImNet-O:n07881205,ImNet-O:hasShape,ImNet-O:a010
ImNet-O:n13003254,ImNet-O:hasPart,ImNet-O:a018
ImNet-O:n13003254,ImNet-O:hasPart,ImNet-O:a019
ImNet-O:n13003254,ImNet-O:hasPart,ImNet-O:a016
ImNet-O:n13004423,ImNet-O:hasPart,ImNet-O:a018
ImNet-O:n13004423,ImNet-O:hasColor,ImNet-O:a002
ImNet-O:n13009085,ImNet-O:hasPart,ImNet-O:a018
ImNet-O:n13009085,ImNet-O:hasPart,ImNet-O:a020
ImNet-O:n13009085,ImNet-O:hasPart,ImNet-O:a016
ImNet-O:n13009085,ImNet-O:hasColor,ImNet-O:a001
ImNet-O:n13013534,ImNet-O:hasPart,ImNet-O:a018
ImNet-O:n13013534,ImNet-O:hasDecoration,ImNet-O:a024
ImNet-O:n13013534,ImNet-O:hasPart,ImNet-O:a016
ImNet-O:n13001206,ImNet-O:hasPart,ImNet-O:a018
ImNet-O:n13001206,ImNet-O:hasPart,ImNet-O:a016
ImNet-O:n13001206,ImNet-O:hasPart,ImNet-O:a017
ImNet-O:n13001206,ImNet-O:hasDecoration,ImNet-O:a023
ImNet-O:n13017102,ImNet-O:hasPart,ImNet-O:a018
ImNet-O:n13017102,ImNet-O:hasColor,ImNet-O:a006
ImNet-O:n07615460,ImNet-O:hasShape,ImNet-O:a015
ImNet-O:n07615460,ImNet-O:hasColor,ImNet-O:a004
ImNet-O:n07615460,ImNet-O:hasIngredient,ImNet-O:a036
ImNet-O:n07614825,ImNet-O:hasShape,ImNet-O:a015
ImNet-O:n07614825,ImNet-O:hasIngredient,ImNet-O:a029
ImNet-O:n07615052,ImNet-O:hasShape,ImNet-O:a015
ImNet-O:n07615052,ImNet-O:hasColor,ImNet-O:a007
ImNet-O:n07615052,ImNet-O:hasColor,ImNet-O:a004
ImNet-O:n07615052,ImNet-O:hasIngredient,ImNet-O:a029
ImNet-O:n07615671,ImNet-O:hasShape,ImNet-O:a015
ImNet-O:n07615671,ImNet-O:hasColor,ImNet-O:a007
ImNet-O:n07615190,ImNet-O:hasShape,ImNet-O:a015
ImNet-O:n07615190,ImNet-O:hasColor,ImNet-O:a002
ImNet-O:n07615190,ImNet-O:hasIngredient,ImNet-O:a037
ImNet-O:n07615190,ImNet-O:hasColor,ImNet-O:a007
ImNet-O:n07707451,ImNet-O:hasColor,ImNet-O:a003
ImNet-O:n07718671,ImNet-O:hasShape,ImNet-O:a014
ImNet-O:n07718671,ImNet-O:hasColor,ImNet-O:a003
ImNet-O:n07718671,ImNet-O:hasColor,ImNet-O:a005
ImNet-O:n07713395,ImNet-O:hasShape,ImNet-O:a015
ImNet-O:n07713395,ImNet-O:hasColor,ImNet-O:a003
ImNet-O:n07713895,ImNet-O:hasShape,ImNet-O:a015
ImNet-O:n07713895,ImNet-O:hasColor,ImNet-O:a003
ImNet-O:n07713895,ImNet-O:hasPart,ImNet-O:a021
ImNet-O:n07713895,ImNet-O:hasPart,ImNet-O:a022
ImNet-O:n07873807,rdfs:label,"pizza, pizza_pie"
ImNet-O:n07871810,rdfs:label,"meat_loaf, meatloaf"
ImNet-O:n07615671,rdfs:label,vanilla_ice_cream
ImNet-O:n07609840,rdfs:label,"dessert, sweet, afters"
ImNet-O:n07715103,rdfs:label,cauliflower
ImNet-O:n07713395,rdfs:label,cruciferous_vegetable
ImNet-O:n07875693,rdfs:label,fish_loaf
ImNet-O:n07615190,rdfs:label,peach_ice_cream
ImNet-O:n07611358,rdfs:label,frozen_dessert
ImNet-O:n07555863,rdfs:label,"food, solid_food"
ImNet-O:n07705711,rdfs:label,"produce, green_goods, green_groceries, garden_truck"
ImNet-O:n07556970,rdfs:label,course
ImNet-O:n07713895,rdfs:label,"cabbage, chou"
ImNet-O:n07683786,rdfs:label,"loaf_of_bread, loaf"
ImNet-O:n15046900,rdfs:label,solid
ImNet-O:n07865105,rdfs:label,chili_dog
ImNet-O:n07584110,rdfs:label,consomme
ImNet-O:n13003254,rdfs:label,"death_cap, death_cup, death_angel, destroying_angel, Amanita_phalloides"
ImNet-O:n07712382,rdfs:label,snack_food
ImNet-O:n07566340,rdfs:label,"foodstuff, food_product"
ImNet-O:n13017102,rdfs:label,"blewits, Clitocybe_nuda"
ImNet-O:n07697537,rdfs:label,"hotdog, hot_dog, red_hot"
ImNet-O:n12992868,rdfs:label,fungus
ImNet-O:n07697313,rdfs:label,cheeseburger
ImNet-O:n07881205,rdfs:label,quesadilla
ImNet-O:n13013534,rdfs:label,lepiota
ImNet-O:n07695965,rdfs:label,sandwich
ImNet-O:n07622061,rdfs:label,baked_goods
ImNet-O:n07874063,rdfs:label,sausage_pizza
ImNet-O:n00004475,rdfs:label,"organism, being"
ImNet-O:n07697100,rdfs:label,"hamburger, beefburger, burger"
ImNet-O:n13001206,rdfs:label,toadstool
ImNet-O:n00020827,rdfs:label,matter
ImNet-O:n13004423,rdfs:label,"chanterelle, chantarelle, Cantharellus_cibarius"
ImNet-O:n07570720,rdfs:label,"nutriment, nourishment, nutrition, sustenance, aliment, alimentation, victuals"
ImNet-O:n00004258,rdfs:label,"living_thing, animate_thing"
ImNet-O:n00001930,rdfs:label,physical_entity
ImNet-O:n07679356,rdfs:label,"bread, breadstuff, staff_of_life"
ImNet-O:n13009085,rdfs:label,"nameko, viscid_mushroom, Pholiota_nameko"
ImNet-O:n00001740,rdfs:label,entity
ImNet-O:n07718671,rdfs:label,gherkin
ImNet-O:n07615460,rdfs:label,strawberry_ice_cream
ImNet-O:n07874259,rdfs:label,cheese_pizza
ImNet-O:n12998815,rdfs:label,agaric
ImNet-O:n00002684,rdfs:label,"object, physical_object"
ImNet-O:n07557434,rdfs:label,dish
ImNet-O:n00020090,rdfs:label,substance
ImNet-O:n07718472,rdfs:label,"cucumber, cuke"
ImNet-O:n12997654,rdfs:label,"basidiomycete, basidiomycetous_fungi"
ImNet-O:n07880968,rdfs:label,burrito
ImNet-O:n07583197,rdfs:label,soup
ImNet-O:n00003553,rdfs:label,"whole, unit"
ImNet-O:n07614500,rdfs:label,"ice_cream, icecream"
ImNet-O:n07614825,rdfs:label,chocolate_ice_cream
ImNet-O:n07566863,rdfs:label,starches
ImNet-O:n07874159,rdfs:label,pepperoni_pizza
ImNet-O:n07615052,rdfs:label,Neapolitan_ice_cream
ImNet-O:n00021265,rdfs:label,"food, nutrient"
ImNet-O:n07707451,rdfs:label,"vegetable, veggie, veg"
ImNet-O:a001,rdfs:label,golden
ImNet-O:a002,rdfs:label,yellow
ImNet-O:a003,rdfs:label,green
ImNet-O:a004,rdfs:label,pink
ImNet-O:a005,rdfs:label,dark_green
ImNet-O:a006,rdfs:label,purple
ImNet-O:a007,rdfs:label,buff
ImNet-O:a008,rdfs:label,cuboid
ImNet-O:a009,rdfs:label,roll
ImNet-O:a010,rdfs:label,triangular
ImNet-O:a011,rdfs:label,oval
ImNet-O:a012,rdfs:label,circular
ImNet-O:a013,rdfs:label,slice
ImNet-O:a014,rdfs:label,long_strip
ImNet-O:a015,rdfs:label,globular
ImNet-O:a016,rdfs:label,white_gill
ImNet-O:a017,rdfs:label,red_cap
ImNet-O:a018,rdfs:label,umbrella-like_cap
ImNet-O:a019,rdfs:label,buff_cap
ImNet-O:a020,rdfs:label,small_cap
ImNet-O:a021,rdfs:label,green_leaf
ImNet-O:a022,rdfs:label,curly_leaf
ImNet-O:a023,rdfs:label,white_spot
ImNet-O:a024,rdfs:label,mottled
ImNet-O:a025,rdfs:label,liquid
ImNet-O:a026,rdfs:label,cheese
ImNet-O:a027,rdfs:label,bread
ImNet-O:a028,rdfs:label,meat
ImNet-O:a029,rdfs:label,chocolate
ImNet-O:a030,rdfs:label,tortilla
ImNet-O:a031,rdfs:label,diced_vegetables
ImNet-O:a032,rdfs:label,lettuce
ImNet-O:a033,rdfs:label,diced_meat
ImNet-O:a034,rdfs:label,meat_pie
ImNet-O:a035,rdfs:label,meat_sauce
ImNet-O:a036,rdfs:label,strawberry
ImNet-O:a037,rdfs:label,peach
ImNet-O:a038,rdfs:label,tubular_sausage
ImNet-O:a039,rdfs:label,sliced_sausage
ImNet-O:a040,rdfs:label,pepperoni
ImNet-O:a041,rdfs:label,cap
ImNet-O:a042,rdfs:label,color
ImNet-O:a043,rdfs:label,decoration
ImNet-O:a044,rdfs:label,fruit
ImNet-O:a045,rdfs:label,ingredient
ImNet-O:a046,rdfs:label,leaf
ImNet-O:a047,rdfs:label,outlook
ImNet-O:a048,rdfs:label,part
ImNet-O:a049,rdfs:label,sausage
ImNet-O:a050,rdfs:label,shape
ImNet-O:a051,rdfs:label,state
ImNet-O:a052,rdfs:label,vegetables
ImNet-O:n07697537,owl:sameAs,cn:hotdog
ImNet-O:a049,owl:sameAs,cn:sausage
ImNet-O:n07583197,owl:sameAs,cn:soup
ImNet-O:n07713895,owl:sameAs,cn:cabbage
ImNet-O:n07865105,owl:sameAs,cn:chili_dog
ImNet-O:a009,owl:sameAs,cn:roll
ImNet-O:a011,owl:sameAs,cn:oval
ImNet-O:n00004475,owl:sameAs,cn:organism
ImNet-O:n00020090,owl:sameAs,cn:substance
ImNet-O:a044,owl:sameAs,cn:fruit
ImNet-O:n07609840,owl:sameAs,cn:dessert
ImNet-O:n07712382,owl:sameAs,cn:snack_food
ImNet-O:n07615190,owl:sameAs,cn:peach_ice_cream
ImNet-O:a010,owl:sameAs,cn:triangular
ImNet-O:a012,owl:sameAs,cn:circular
ImNet-O:a030,owl:sameAs,cn:tortilla
ImNet-O:a041,owl:sameAs,cn:cap
ImNet-O:n07683786,owl:sameAs,cn:loaf_of_bread
ImNet-O:n07705711,owl:sameAs,cn:produce
ImNet-O:n07622061,owl:sameAs,cn:baked_goods
ImNet-O:n07679356,owl:sameAs,cn:bread
ImNet-O:n07566340,owl:sameAs,cn:foodstuff
ImNet-O:n07615671,owl:sameAs,cn:vanilla_ice_cream
ImNet-O:n12992868,owl:sameAs,cn:fungus
ImNet-O:n13013534,owl:sameAs,cn:lepiota
ImNet-O:a027,owl:sameAs,cn:bread
ImNet-O:n07611358,owl:sameAs,cn:frozen_dessert
ImNet-O:n07697100,owl:sameAs,cn:hamburger
ImNet-O:a042,owl:sameAs,cn:color
ImNet-O:a029,owl:sameAs,cn:chocolate
ImNet-O:n13003254,owl:sameAs,cn:death_cap
ImNet-O:a003,owl:sameAs,cn:green
ImNet-O:a040,owl:sameAs,cn:pepperoni
ImNet-O:n07874159,owl:sameAs,cn:pepperoni_pizza
ImNet-O:n00002684,owl:sameAs,cn:object
ImNet-O:n07713395,owl:sameAs,cn:cruciferous_vegetable
ImNet-O:n07555863,owl:sameAs,cn:food
ImNet-O:n15046900,owl:sameAs,cn:solid
ImNet-O:n13004423,owl:sameAs,cn:chanterelle
ImNet-O:n07614500,owl:sameAs,cn:ice_cream
ImNet-O:n07881205,owl:sameAs,cn:quesadilla
ImNet-O:a028,owl:sameAs,cn:meat
ImNet-O:n07718671,owl:sameAs,cn:gherkin
ImNet-O:n00020827,owl:sameAs,cn:matter
ImNet-O:n13001206,owl:sameAs,cn:toadstool
ImNet-O:a045,owl:sameAs,cn:ingredient
ImNet-O:a050,owl:sameAs,cn:shape
ImNet-O:a002,owl:sameAs,cn:yellow
ImNet-O:a025,owl:sameAs,cn:liquid
ImNet-O:n07715103,owl:sameAs,cn:cauliflower
ImNet-O:n07871810,owl:sameAs,cn:meat_loaf
ImNet-O:n07874063,owl:sameAs,cn:sausage_pizza
ImNet-O:a008,owl:sameAs,cn:cuboid
ImNet-O:n07615460,owl:sameAs,cn:strawberry_ice_cream
ImNet-O:n07707451,owl:sameAs,cn:vegetable
ImNet-O:a048,owl:sameAs,cn:part
ImNet-O:n07697313,owl:sameAs,cn:cheeseburger
ImNet-O:n12998815,owl:sameAs,cn:agaric
ImNet-O:a037,owl:sameAs,cn:peach
ImNet-O:n07556970,owl:sameAs,cn:course
ImNet-O:n00003553,owl:sameAs,cn:whole
ImNet-O:n07557434,owl:sameAs,cn:dish
ImNet-O:n07566863,owl:sameAs,cn:starches
ImNet-O:a034,owl:sameAs,cn:meat_pie
ImNet-O:a013,owl:sameAs,cn:slice
ImNet-O:n07614825,owl:sameAs,cn:chocolate_ice_cream
ImNet-O:n07880968,owl:sameAs,cn:burrito
ImNet-O:a026,owl:sameAs,cn:cheese
ImNet-O:n12997654,owl:sameAs,cn:basidiomycete
ImNet-O:n13017102,owl:sameAs,cn:blewits
ImNet-O:a035,owl:sameAs,cn:meat_sauce
ImNet-O:a046,owl:sameAs,cn:leaf
ImNet-O:n07874259,owl:sameAs,cn:cheese_pizza
ImNet-O:a001,owl:sameAs,cn:golden
ImNet-O:n07695965,owl:sameAs,cn:sandwich
ImNet-O:n00004258,owl:sameAs,cn:living_thing
ImNet-O:a051,owl:sameAs,cn:state
ImNet-O:a036,owl:sameAs,cn:strawberry
ImNet-O:a032,owl:sameAs,cn:lettuce
ImNet-O:n00021265,owl:sameAs,cn:food
ImNet-O:a007,owl:sameAs,cn:buff
ImNet-O:n13009085,owl:sameAs,cn:nameko
ImNet-O:n07873807,owl:sameAs,cn:pizza
ImNet-O:a052,owl:sameAs,cn:vegetable
ImNet-O:n07615052,owl:sameAs,cn:neapolitan_ice_cream
ImNet-O:n07875693,owl:sameAs,cn:fish_loaf
ImNet-O:a004,owl:sameAs,cn:pink
ImNet-O:a020,owl:sameAs,cn:small_cap
ImNet-O:a006,owl:sameAs,cn:purple
ImNet-O:n07570720,owl:sameAs,cn:nutriment
ImNet-O:n07584110,owl:sameAs,cn:consomme
ImNet-O:n07718472,owl:sameAs,cn:cucumber
ImNet-O:a043,owl:sameAs,cn:decoration
cn:object,cn:hasProperty,cn:rolled_up_if_floppy
cn:santa_hat,rdfs:subClassOf,cn:cap
cn:tomatoes,rdfs:subClassOf,cn:vegetable
cn:candida_krusei,rdfs:subClassOf,cn:fungus
cn:special,rdfs:subClassOf,cn:dish
cn:karl_tries_to_drink,rdfs:subClassOf,cn:soup
cn:yellow,rdfs:subClassOf,cn:colored_thing
cn:dodecahedron,rdfs:subClassOf,cn:solid
cn:fruit,rdfs:subClassOf,cn:healthy_food
cn:goose_meat,rdfs:subClassOf,cn:meat
cn:frank,rdfs:subClassOf,cn:sausage
cn:pizza,cn:hasA,cn:mostly_dough_cheese_and_tomato
cn:ramalina,rdfs:subClassOf,cn:fungus
cn:lepiota_naucina,rdfs:subClassOf,cn:lepiota
cn:cheese,rdfs:subClassOf,cn:popular_topping_for_potato
cn:bread,cn:hasProperty,cn:high_in_carbohydrates
cn:granny_smith_apple,rdfs:subClassOf,cn:fruit
cn:leaf,cn:usedFor,cn:paint_with
cn:skin_of_bananas,cn:hasProperty,cn:yellow
cn:gasteromycete,rdfs:subClassOf,cn:fungus
cn:eating_dinner,cn:hasPrerequisite,cn:food
cn:kig_ha_farz,rdfs:subClassOf,cn:food
cn:color,cn:hasProperty,cn:important_to_who_painting
cn:food,rdfs:subClassOf,cn:what_people_eat
cn:earring,cn:usedFor,cn:decoration
cn:peppers_and_peas,rdfs:subClassOf,cn:vegetables
cn:sudanese_state,rdfs:subClassOf,cn:state
cn:italian_ice,rdfs:subClassOf,cn:food
cn:trenette,rdfs:subClassOf,cn:food
cn:muffin,rdfs:subClassOf,cn:food
cn:liquid,rdfs:subClassOf,cn:state_of_mater
cn:borscht,rdfs:subClassOf,cn:food
cn:edible_fruit,rdfs:subClassOf,cn:produce
cn:mammal_meat,rdfs:subClassOf,cn:meat
cn:coca_plant_leaf,rdfs:subClassOf,cn:leaf
cn:pillow_case,cn:usedFor,cn:decoration
cn:pozole,cn:instanceOf,cn:soup
cn:meat,cn:capableOf,cn:brown_in_pan
cn:banana,rdfs:subClassOf,cn:food
cn:biriani,rdfs:subClassOf,cn:dish
cn:erioderma_pedicellatum,rdfs:subClassOf,cn:fungus
cn:sausage,cn:similarTo,cn:kishke
cn:horse_flesh,rdfs:subClassOf,cn:meat
